hour_of_the_day,day_of_the_week,client_user,client_host,client_ip,client_program,service_name
11.829444444444444,1,dboard,dashb-ai-651.cern.ch,128.142.146.223,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.4222222222222225,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\kernel\exe\Evolynx-serveur.exe,SUSITST
11.829166666666666,1,wls,__jdbc__,137.138.161.101,JDBC Thin Client,found_service_test.WORLD
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.420555555555556,1,oracle,__jdbc__,10.16.6.228,JDBC Thin Client,SUSITST
4.436944444444444,1,zabbix,ssm.cern.ch,172.26.104.244,sqlplus,ZORATST
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.420277777777778,1,zabbix,ssm.cern.ch,172.26.104.244,sqlplus,ZORATST
4.435555555555556,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.421388888888889,1,SYSTEM,YSCCP-20000,172.18.161.8,C:\Windows\system32\DllHost.exe,SUSITST
4.4383333333333335,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.424166666666667,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.829444444444444,1,,,,,ACCINT1
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.434444444444445,1,Syst?me,YECCP08-PS0,10.11.5.108,C:\Program?Files??x86?\Microsoft?SQL?Server\MSSQL.1\MSSQL\Binn\sqlservr.exe,ZORATST
11.830555555555556,1,,,,,C2PPSDB1
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.423611111111112,1,YSCCP-20000$,__jdbc__,172.18.161.8,JDBC Thin Client,susitst
11.830277777777777,1,acclog,__jdbc__,188.185.76.83,JDBC Thin Client,accint.cern.ch
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
